strassenschluessel,strassenname,stadtteilschluessel,stadtteilname,plz,hausnr_ungerade_von,hausnr_ungerade_bis,hausnr_gerade_von,hausnr_gerade_bis
02800,Schinkelstr.,304,Braunsfeld,50933,0003,0017,0002,0018
02801,Schirmerstr.,402,Neuehrenfeld,50823,0001,0047,0002,0048
02802,Schlackstr.,506,Longerich,50737,0001,0057,0002,0036
02803,Schlagbaumsweg,806,Merheim,51109,,,,
02803,Schlagbaumsweg,903,Buchheim,51067,0015,0015,,
02803,Schlagbaumsweg,904,Holweide,51067,0001,0005,0150,0260
02803,Schlagbaumsweg,904,Holweide,51067,0145,0235,,
02804,Schlebuscher Weg,906,Höhenhaus,51061,0001,0057,0002,0040
02805,Schlegelstr.,303,Lindenthal,50935,0001,0029,0012,0048
02806,Schlehdornweg,403,Bickendorf,50827,0001,0001,0002,0060a
02807,Schleidener Str.,302,Sülz,50937,0001,0021,0002,0024
02808,Schleiermacherstr.,901,Mülheim,51063,0003,0047a,0002,0014
02809,Schleifenbaumstr.,907,Dünnwald,51061,0001,0037,0002,0028
02810,Schlenderhaner Str.,504,Niehl,50735,0001,0041,0002,0034
02811,Schlesischer Platz,505,Weidenpesch,50737,0001,0009,0002,0006
02812,Schleswigstr.,901,Mülheim,51065,0001,0007,0002,0018
02813,Schlettstadter Str.,601,Merkenich,50769,,,0010,0018
02814,Schleusenweg,612,Worringen,50769,0001,0005,0002,0004
02815,Schleuterstr.,804,Höhenberg,51103,0001,0001,0006,0044
02816,Schlösserstr.,402,Neuehrenfeld,50825,0001,0005,,
02817,Schloß-Arff-Str.,611,Roggendorf/Thenhoven,50769,0021,0021,0000,0052
02818,Schloßstr.,908,Stammheim,51061,0001,0045,0004,0044
02819,Schluchter Heide,905,Dellbrück,51069,0001,0013,0002,0016
02820,Schmalbeinstr.,104,Neustadt/Nord,50674,0005,0051,0008,0032
02821,Schmaler Wall,612,Worringen,50769,0001,0059,0002,0014
02822,Schmalkalder Weg,804,Höhenberg,51103,0001,0003,,
02823,Schmiedegasse,502,Mauenheim,50739,0101,0157,0158,0162
02823,Schmiedegasse,505,Weidenpesch,50735,0005,0053,0002,0058
02824,Schmiedhofsweg,602,Fühlingen,50769,0001,0007,0002,0006
02825,Schmitburgstr.,302,Sülz,50935,0001,0017,0004,0010
02826,Schmittmannstr.,303,Lindenthal,50935,0001,0015,0004,0026
02827,Schneeglöckchenweg,906,Höhenhaus,51061,0001,0027,0002,0026
02828,Schneewittchenweg,904,Holweide,51067,0001,0017,0002,0018
02829,Schneider-Clauss-Str.,501,Nippes,50733,0007,0025,0008,0020
02830,Schnellweider Str.,904,Holweide,51067,0007,0117,0004,0128
02831,Schnurgasse,101,Altstadt/Süd,50676,0027,0051,0002,0076
02832,Schönbergweg,405,Bocklemünd/Mengenich,50829,0001,0011,0012,0014
02833,Schönenberger Str.,807,Brück,51109,0001,0015,0002,0012
02834,Schönhauser Str.,201,Bayenthal,50968,0003,0067,0002,0064
02835,Schönrather Str.,901,Mülheim,51063,0001,0171,,
02836,Schönsteinstr.,401,Ehrenfeld,50825,0001,0063,0004,0028
02837,Schreberstr.,701,Poll,51105,0005,0009,0002,0024
02838,Schützenhofstr.,901,Mülheim,51063,0001,0015,0002,0022
02839,Schulpfad,701,Poll,51105,0013,0015,0014,0036
02840,Schulstr.,804,Höhenberg,51103,0001,0085,0002,0044
02841,Schulze-Delitzsch-Str.,204,Raderthal,50968,0001,0099,0002,0108
02842,Schumacherring,405,Bocklemünd/Mengenich,50829,0001,0065,0002,0070
02843,Schumannstr.,303,Lindenthal,50931,0007,0025,0002,0024
02844,Schwabstr.,904,Holweide,51067,0001,0019,0004,0032
02845,Schwadorfer Str.,204,Raderthal,50968,,,0014,0024
02846,Schwalbacher Str.,205,Zollstock,50969,0003,0059,0002,0060
02847,Schwalbengasse,103,Altstadt/Nord,50667,0001,0009,0002,0046
02848,Schwarzburger Str.,804,Höhenberg,51103,0001,0003,0000,
02849,Schwedenweg,904,Holweide,51067,0001,0013,0002,0014
02850,Schweidnitzer Str.,907,Dünnwald,51069,0013,0029,0012,0028
02851,Schweinheimer Str.,904,Holweide,51067,0007,0095,0002,0066
02852,Schwelmer Weg,806,Merheim,51109,0029,0041,0004,0028
02853,Schwerinstr.,501,Nippes,50733,0001,0039,0002,0064
02854,Schwertnergasse,103,Altstadt/Nord,50667,0001,0001,,
02855,Schwetzinger Str.,805,Ostheim,51107,0001,0037,0002,0056
02856,Schwindstr.,305,Müngersdorf,50933,0001,0001,0002,0010
02857,Schwyzer Klause,901,Mülheim,51063,0001,0007,0002,0024
02858,Sebastianstr.,504,Niehl,50735,0001,0229,0008,0228
02859,Sechtemer Str.,203,Raderberg,50968,0001,0005,0002,0012
02860,Sechzigstr.,501,Nippes,50733,0001,0135,0002,0072
02861,Sedanstr.,104,Neustadt/Nord,50668,0009,0039,0002,0018
02862,Seidelstr.,701,Poll,51105,,,0002,0012
02863,Seidenstr.,901,Mülheim,51063,0001,0027,0002,0036
02865,Selbachweg,808,Rath/Heumar,51107,0001,0011,0002,0014
02866,Seligenthaler Str.,801,Humboldt/Gremberg,51105,0009,0009,0002,0008
02867,Selkestr.,906,Höhenhaus,51061,,,,
02868,Semmelweisstr.,909,Flittard,51061,0001,0167,0002,0080
02869,Senefelderstr.,401,Ehrenfeld,50825,0001,0017,0002,0096
02870,Senfweg,612,Worringen,50769,0011,0011,0000,0014
02871,Sengbachweg,906,Höhenhaus,51061,0001,0017,0002,0014
02872,Sengerweg,808,Rath/Heumar,51107,0001,0051,0004,0054
02873,Senistr.,904,Holweide,51067,0001,0025,0002,0010
02874,Servasgasse,103,Altstadt/Nord,50668,,,,
02875,Servatiusstr.,805,Ostheim,51107,0099,0099,,
02875,Servatiusstr.,805,Ostheim,51109,0001,0073,0002,0092
02875,Servatiusstr.,806,Merheim,51109,0133,0163,,
02876,Severinsbrücke,101,Altstadt/Süd,50678,,,,
02876,Severinsbrücke,105,Deutz,50679,,,,
02877,Severinskirchplatz,101,Altstadt/Süd,50678,0001,0001,0002,0012
02878,Severinskloster,101,Altstadt/Süd,50678,0001,0017,0002,0012
02879,Severinsmühlengasse,101,Altstadt/Süd,50678,0001,0005,0002,0006
02880,Severinstr.,101,Altstadt/Süd,50676,0199,0241,0188,0232
02880,Severinstr.,101,Altstadt/Süd,50678,0001,0193,0002,0162a
02881,Severinswall,101,Altstadt/Süd,50678,0003,0053,0002,0054
02882,Seydlitzstr.,505,Weidenpesch,50737,0001,0009,0002,0010
02883,Seyengasse,101,Altstadt/Süd,50678,0001a,0009,0002,0002
02884,Sibeliusstr.,803,Vingst,51107,0001,0063,0002,0032
02885,Siebachstr.,501,Nippes,50733,0013,0121,0002a,0106
02886,Siebengebirgsallee,301,Klettenberg,50939,0001,0193,0002,0188
02887,Siebenrabengasse,904,Holweide,51067,0001,0015,,
02888,Sieboldstr.,503,Riehl,50735,0001,0015,0002,0022
02897,Siegburger Str.,105,Deutz,50679,0015,0241,0104,0126
02897,Siegburger Str.,701,Poll,51105,0243,0539,0232,0522
02898,Siegener Str.,806,Merheim,51109,0001,0035,0004,0036
02899,Siegesstr.,105,Deutz,50679,0001,0005,0004,0044
02900,Siegfriedstr.,102,Neustadt/Süd,50678,0001,0017,0002,0010
02902,Siegmundstr.,502,Mauenheim,50739,0001,0021,0002,0016
02903,Siegstr.,908,Stammheim,51061,,,,
02904,Sielsdorfer Str.,303,Lindenthal,50935,0001,0033,0002,0020
02905,Siemensstr.,402,Neuehrenfeld,50825,0001,0055,0002,0064
02906,Siershahner Weg,604,Heimersdorf,50767,0001,0015,,
02907,Sieversstr.,802,Kalk,51103,0001,0041,0002,0036
02908,Sigmaringer Str.,303,Lindenthal,50935,0003,0017,0002,0018
02909,Sigrid-Undset-Str.,803,Vingst,51103,0001,0009,0002,0018
02910,Sigwinstr.,906,Höhenhaus,51061,0005,0183,0002,0190
02911,Silcherstr.,403,Bickendorf,50827,0001,0031,0002,0230
02912,Silesiusstr.,903,Buchheim,51065,0001,0015,0002,0082
02913,Silvanstr.,101,Altstadt/Süd,50678,0001,0023,0002,0014
02914,Simarplatz,402,Neuehrenfeld,50825,0001,0021,0002,0022
02915,Simmerer Str.,302,Sülz,50935,0001,0049,0002,0062
02916,Simon-Meister-Str.,501,Nippes,50733,0001,0033,0002,0050
02917,Simonskaul,505,Weidenpesch,50737,0001,0077,0004,0086
02917,Simonskaul,506,Longerich,50737,,,,
02918,Simrockstr.,401,Ehrenfeld,50823,0001,0091,0002,0074
02919,Sinnersdorfer Str.,611,Roggendorf/Thenhoven,50769,0067,0199,0066,0196
02920,Sintherer Str.,405,Bocklemünd/Mengenich,50829,0001,0039,0004,0056
02921,Sinziger Str.,202,Marienburg,50968,0001,0041,0002,0020
02921,Sinziger Str.,204,Raderthal,50968,0043,0045,,
02922,Slabystr.,503,Riehl,50735,0001,0011,0020,0028
02923,Sömmeringstr.,401,Ehrenfeld,50823,0007,0083,0002,0114
02924,Soester Str.,806,Merheim,51109,0001,0015,0002,0016
02925,Solinger Str.,802,Kalk,51103,0001,0035,0002,0022
02926,Sonderburger Str.,901,Mülheim,51065,0001,0065,0004,0004
02927,Sonnenblumenweg,906,Höhenhaus,51061,0001,0019,0002,0020
02928,Sonnenscheinstr.,901,Mülheim,51063,0001,0003,0002,0008
02929,Sonnenweg,906,Höhenhaus,51061,0001,0019,0002,0020
02930,Sooneckstr.,203,Raderberg,50968,0001,0003b,0002,0012
02931,Spechtstr.,504,Niehl,50735,0001,0023,0002,0016
02933,Speestr.,302,Sülz,50937,0003,0011,0002,0014
02934,Spemannstr.,909,Flittard,51061,0011,0021,0012,0042
02935,Sperberweg,404,Vogelsang,50829,0001,0039,0002,0038
02936,Sperlingsweg,404,Vogelsang,50829,0001,0033,0002,0048
02937,Speyerer Str.,507,Bilderstöckchen,50739,0001,0055,0002,0046
02938,Spichernstr.,104,Neustadt/Nord,50672,0025,0077,0002,0056
02940,Spiesergasse,103,Altstadt/Nord,50670,0001,0007,0002,0020
02941,Spinnmühlengasse,101,Altstadt/Süd,50676,0001,0009,0002,0002
02942,Spitzwegstr.,305,Müngersdorf,50933,0001,0007,0002,0016
02943,Spoerkelhof,601,Merkenich,50769,0001,0009,0004,0006
02944,Sporergasse,103,Altstadt/Nord,50667,0001,0019,0002,0014
02947,Sportplatz Rath,808,Rath/Heumar,51107,,,,
02948,Sportstr.,505,Weidenpesch,50737,0001,0019,0002,0026
02949,Sprengelstr.,503,Riehl,50735,0001,0015,0002,0016
02950,Spielmannsgasse,101,Altstadt/Süd,50678,,,0002,0016
02951,Stachelsweg,808,Rath/Heumar,51107,0001,0057,0002,0032
02952,Stadtwald,303,Lindenthal,50935,,,0002,0002
02953,Stadtwaldgürtel,303,Lindenthal,50931,,,0002,0074
02953,Stadtwaldgürtel,303,Lindenthal,50935,0001,0089,,
02954,Stahleckstr.,203,Raderberg,50968,0001,0013,0002,0014
02955,Stallagsbergweg,602,Fühlingen,50769,0001a,0001a,0002,0004
02956,Stallagsweg,604,Heimersdorf,50767,0101,0211,0116,0188
02957,Stammheimer Deichweg,908,Stammheim,51061,,,,
02957,Stammheimer Deichweg,909,Flittard,51061,0001,0045,0002,0010
02958,Stammheimer Hauptstr.,908,Stammheim,51061,0005,0067,0002,0096
02959,Stammheimer Ring,908,Stammheim,51061,0017,0165,0022,0132
02960,Stammheimer Str.,503,Riehl,50735,0009,0175,0002,0160
02961,Stammheimer Ufer,908,Stammheim,51061,,,0202,0208
02962,Stammstr.,401,Ehrenfeld,50823,0001,0111,0002a,0092
02963,Stangenroder Weg,605,Lindweiler,50767,0001,0025,,
02964,Stapelkai,504,Niehl,50735,,,,
02965,St.-Apern-Str.,103,Altstadt/Nord,50667,0001,0021,0002,0070
02966,Starenweg,404,Vogelsang,50829,0001,0035,0002,0034
02967,Stauderstr.,102,Neustadt/Süd,50674,,,,
02968,Stauffenbergstr.,506,Longerich,50737,,,0002,0022
02969,Steeger Str.,903,Buchheim,51067,0001,0015,0006,0006
02970,Stefan-Zweig-Str.,405,Bocklemünd/Mengenich,50829,0001,0015,,
02971,Stegwiese,903,Buchheim,51067,0029,0041,0002,0026
02972,Steinbergerstr.,501,Nippes,50733,0001,0037,0002,0042
02973,Steinbücheler Weg,906,Höhenhaus,51061,0001,0057,0002,0080
02974,Steinenbrücker Str.,905,Dellbrück,51069,,,0002,0020
02975,Steinfelder Gasse,103,Altstadt/Nord,50670,0001,0035,0006,0034
02976,Steinkaulerstr.,901,Mülheim,51063,0001,0035,,
02977,Steinkauzweg,404,Vogelsang,50829,0001,0047,0002,0060
02978,Steinkopfstr.,901,Mülheim,51065,0001,0065,0002,0070
02979,Steinkrügerstr.,402,Neuehrenfeld,50825,0001,0039,0002,0030
02980,Steinmetzstr.,802,Kalk,51103,0001,0075,0002,0048
02981,Steinrutschweg,805,Ostheim,51107,0005,0093,0002,0084
02982,Steinstr.,101,Altstadt/Süd,50676,0001,0051,0012,0050
02983,Steinweg,103,Altstadt/Nord,50667,0001,0023,0004,0030
02984,Stenzelbergstr.,301,Klettenberg,50939,0001,0017,0010,0028
02985,Stephanstr.,101,Altstadt/Süd,50676,0007,0017,0002,0004
02986,Steprathstr.,802,Kalk,51103,0001,0033,0004,0034
02987,Sternengasse,101,Altstadt/Süd,50676,0001,0009,0002,0016
02988,Sternheimstr.,405,Bocklemünd/Mengenich,50829,,,0002,0028
02989,Stettiner Str.,505,Weidenpesch,50737,0001,0013,0002,0016
02990,Steubenstr.,403,Bickendorf,50827,0001,0023,0002,0024
02991,Steyler Str.,904,Holweide,51067,0001,0021,0004,0004
02992,Stieglitzweg,404,Vogelsang,50829,0001,0047,0002,0056
02993,Stöckerstr.,901,Mülheim,51063,,,,
02994,Stöckheimer Weg,405,Bocklemünd/Mengenich,50829,0001,0005,,
02994,Stöckheimer Weg,607,Esch/Auweiler,50829,,,,
02995,Stoffelsstr.,611,Roggendorf/Thenhoven,50769,0001,0033,0002,0024
02996,Stolberger Str.,304,Braunsfeld,50933,0001,0329,0002,0202
02996,Stolberger Str.,305,Müngersdorf,50933,0351,0407,0364,0382
02997,Stolkgasse,103,Altstadt/Nord,50667,0001,0047,,
02997,Stolkgasse,103,Altstadt/Nord,50668,,,0004,0004
02998,Stolzestr.,102,Neustadt/Süd,50674,0001,0027,0004,0020
02999,Stommeler Str.,506,Longerich,50739,0015,0091,0018,0072
03000,Storchenweg,404,Vogelsang,50829,0001,0031,0002,0034
03001,Stormstr.,104,Neustadt/Nord,50670,0001,0021,0002,0012
03002,Stotzheimer Str.,205,Zollstock,50969,0001,0023,0002,0024
03003,Straberger Weg,611,Roggendorf/Thenhoven,50769,0151,0153,0002,0150
03004,Straßburger Platz,809,Neubrück,51109,0001,0005,0002,0006
03005,Streitzeuggasse,103,Altstadt/Nord,50667,0001,0009,0002,0082
03006,Neubrücker Ring,809,Neubrück,51109,,,0018,0050
03007,Strundener Str.,905,Dellbrück,51069,0001,0153,0002,0180
03008,Strunder Feld,905,Dellbrück,51069,0001,0029,0002,0034
03009,St.-Tönnis-Str.,612,Worringen,50769,0001a,0201,0004,0208
03010,Stürmerstr.,901,Mülheim,51063,0001,0009,0002,0006
03011,Stürzelberger Weg,612,Worringen,50769,,,0002,0038
03012,Stüttgenweg,303,Lindenthal,50935,,,0002,0002
03012,Stüttgenweg,306,Junkersdorf,50858,0001,0017,,
03013,Stuppstr.,401,Ehrenfeld,50823,0001,0013,0002,0022
03014,Stuttgarter Str.,507,Bilderstöckchen,50739,0001,0079,0002,0020
03015,St.-Vither-Str.,304,Braunsfeld,50933,0001,0011,0004,0016
03016,Subbelrather Str.,104,Neustadt/Nord,50672,0001,0013,0016,0016
03016,Subbelrather Str.,401,Ehrenfeld,50823,0015,0221,0024,0234
03016,Subbelrather Str.,401,Ehrenfeld,50825,0243,0479,0238,0498a
03016,Subbelrather Str.,403,Bickendorf,50827,0481,0561,0538,0598
03017,Sudermanplatz,104,Neustadt/Nord,50670,0001,0009,0002,0012
03018,Sudermanstr.,104,Neustadt/Nord,50670,0001,0009,0002,0012
03019,Südbrücke,201,Bayenthal,50968,,,,
03019,Südbrücke,701,Poll,51105,,,,
03020,Sülzburgstr.,302,Sülz,50937,0001,0217,0034,0198
03020,Sülzburgstr.,303,Lindenthal,50937,0229,0271,0200,0234
03021,Sülzer Aquarienweg,302,Sülz,50937,,,,
03022,Sülzgürtel,302,Sülz,50937,0001,0071,0002,0096
03023,Swisttalstr.,204,Raderthal,50968,0005,0037,0002,0034
03024,Suevenstr.,105,Deutz,50679,0001,0035,0002,0036
03025,Suhler Weg,804,Höhenberg,51103,,,0008,0008
03026,Suitbertstr.,904,Holweide,51067,0001,0071,0002,0062
03027,Taborplatz,604,Heimersdorf,50767,0001,0009,0002,0008
03028,Tacitusstr.,201,Bayenthal,50968,0001,0025,0002,0054
03029,Taepperweg,603,Seeberg,50769,0001,0001,0002,0008
03030,Takufeld,402,Neuehrenfeld,50825,0041,0041,,
03031,Takuplatz,402,Neuehrenfeld,50825,0001,0007,,
03032,Takustr.,401,Ehrenfeld,50825,0001,0035d,0002,0032
03032,Takustr.,402,Neuehrenfeld,50825,0037,0101,0038,0076
03033,Talstr.,905,Dellbrück,51069,0025,0037,0002,0040
03034,Tangastr.,501,Nippes,50733,0001,0011,0002,0016
03035,Tarnowitzer Str.,903,Buchheim,51065,0001,0011,0002,0012
03036,Taubengasse,101,Altstadt/Süd,50676,0001,0021,,
03037,Taubenholzweg,701,Poll,51105,0029,0029,,
03039,Tauentzienstr.,501,Nippes,50733,,,0002,0004
03040,Taunusplatz,801,Humboldt/Gremberg,51105,0001,0011,,
03041,Taunusstr.,801,Humboldt/Gremberg,51105,0001,0055,0002,0054
03042,Teichstr.,403,Bickendorf,50827,0001,0077,0002,0062
03043,Tempelherrenstr.,903,Buchheim,51067,0001,0023,0024,0048
03044,Tempelstr.,105,Deutz,50679,0001,0103,0002,0056
03045,Tenktererstr.,105,Deutz,50679,0001,0005,0002,0006
03046,Tessiner Weg,901,Mülheim,51063,0001,0017,0002,0018
03047,Teutoburger Str.,102,Neustadt/Süd,50678,0001,0035,0002,0042
03048,Teutonenstr.,105,Deutz,50679,,,0002,0016
03049,Thebäerstr.,401,Ehrenfeld,50823,0001,0063,0002,0100
03050,Theklastr.,505,Weidenpesch,50737,0001,0029,0002,0028
03051,Thenhover-Escher Weg,611,Roggendorf/Thenhoven,50769,0043,0067,0040,0052
03052,Theoderichstr.,801,Humboldt/Gremberg,51105,0001,0015,0002,0002
03053,Theodor-Babilon-Str.,105,Deutz,50679,0001,0007,0002,0008
03054,Theodor-Brauer-Str.,901,Mülheim,51063,0001,0041,0002,0020
03055,Theodor-Haecker-Str.,809,Neubrück,51109,0001,0021,0002,0002
03056,Theodor-Heuss-Ring,104,Neustadt/Nord,50668,0001,0023a,0002,0062
03057,Theodor-Hürth-Str.,105,Deutz,50679,0001,0011,0002,0012
03058,Theodor-Schwann-Str.,503,Riehl,50735,0001,0025,0002,0030
03059,Theodor-Zingsheim-Weg,305,Müngersdorf,50933,,,,
03060,Theophanoplatz,205,Zollstock,50969,0001,0009,0002,0008
03061,Theophanostr.,205,Zollstock,50969,0001,0019,0002,0038
03062,Theresienstr.,303,Lindenthal,50931,0015,0085,0016,0096
03063,Thieboldsgasse,101,Altstadt/Süd,50676,0003,0139,0006,0152
03064,Thielenbrucher Allee,905,Dellbrück,51069,0001,0035,0002,0046
03065,Thielenbrucher Hof,905,Dellbrück,51069,,,0014,0018
03067,Thielenstr.,401,Ehrenfeld,50825,0001,0031,0002,0048
03068,Thönneshofweg,601,Merkenich,50769,0001,0009,,
03069,Thomasberger Str.,301,Klettenberg,50939,0001,0051,0002,0032
03070,Thomas-Dehler-Weg,809,Neubrück,51109,0001,0013,,
03071,Thomas-Mann-Str.,201,Bayenthal,50968,0001,0005,0006,0010
03072,Thorn-Prikker-Str.,603,Seeberg,50769,0001,0013,0002,0004
03073,Thorwaldsenstr.,803,Vingst,51103,0001,0027,0002,0036
03074,Thüringer Str.,501,Nippes,50733,0003,0031,0004,0022
03075,Thürmchenswall,103,Altstadt/Nord,50668,0003,0081,0004,0078
03076,Thuleweg,906,Höhenhaus,51061,0001,0025,0016,0098
03077,Thumbstr.,802,Kalk,51103,0001,0087,0002,0082
03078,Thurner Heide,905,Dellbrück,51069,0003,0017a,0002,0048
03079,Thurner Kamp,905,Dellbrück,51069,0105,0111,0008,0046
03080,Thurner Str.,905,Dellbrück,51069,0001,0129,0002,0104
03081,Thurnmarkt,101,Altstadt/Süd,50676,0001,0007,,
03082,Thusneldastr.,105,Deutz,50679,0001,0031,0002,0048
03083,Thymianweg,906,Höhenhaus,51061,0001,0025,0002,0060
03084,Thywissenstr.,901,Mülheim,51065,0001,0011,0002,0012
03085,Tiberiusstr.,202,Marienburg,50968,0001,0007,0004,0016
03087,Tieckstr.,402,Neuehrenfeld,50825,0001,0083,0002,0102
03088,Tiefentalstr.,901,Mülheim,51063,0007,0041,0014,0072
03089,Tiergartenstr.,503,Riehl,50735,0009,0011,,
03090,Tillystr.,904,Holweide,51067,0001,0007,0002,0016
03091,Tilsiter Str.,504,Niehl,50735,0001,0013,0002,0012
03092,Tipsgasse,103,Altstadt/Nord,50667,,,,
03093,Titusstr.,102,Neustadt/Süd,50678,,,0002,0026
03094,Togostr.,501,Nippes,50733,0003,0007,0002,0018
03095,Tollerstr.,405,Bocklemünd/Mengenich,50829,0001,0025,0002,0016
03096,Tondernstr.,402,Neuehrenfeld,50825,0001,0049,0002,0054
03097,Topsstr.,901,Mülheim,51063,,,0002,0010b
03098,Torgaustr.,505,Weidenpesch,50737,0001,0007,,
03099,Torringer Weg,906,Höhenhaus,51061,0001,0047,0002,0032
03100,Totilastr.,105,Deutz,50679,0001,0001,0002,0002
03101,Trajanstr.,102,Neustadt/Süd,50678,0001,0043,0010,0018
03102,Trakehner Str.,504,Niehl,50735,0001,0041,0004,0028
03103,Trankgasse,103,Altstadt/Nord,50667,0001,0011,0020,0020
03104,Trankgassenwerft,103,Altstadt/Nord,50668,,,,
03105,Triberger Weg,901,Mülheim,51063,0001,0029,0002,0054
03106,Trierer Str.,101,Altstadt/Süd,50676,0001,0027,0002,0010
03106,Trierer Str.,102,Neustadt/Süd,50674,0029,0065,,
03107,Trifelsstr.,507,Bilderstöckchen,50739,,,0002,0004
03108,Trimbornstr.,802,Kalk,51105,0001,0027,0002,0038
03109,Trittenheimer Str.,205,Zollstock,50969,0001,0007,0002,0014
03110,Troisdorfer Str.,105,Deutz,50679,,,,
03111,Tucholskystr.,405,Bocklemünd/Mengenich,50829,0001,0013,0002,0048
03112,Tübinger Str.,507,Bilderstöckchen,50739,0001,0017,0002,0020
03113,Türkstr.,908,Stammheim,51063,0001,0011,0002,0008
03114,Tulpenweg,906,Höhenhaus,51061,0003,0051,0002,0012
03115,Tunisstr.,103,Altstadt/Nord,50667,0003,0027,0004,0004
03115,Tunisstr.,103,Altstadt/Nord,50668,,,,
03116,Turiner Str.,103,Altstadt/Nord,50668,0001,0021,0002,0006
03117,Turmstr.,501,Nippes,50733,0003,0019,0002,0038
03118,Ubierring,102,Neustadt/Süd,50678,0001,0061a,0002,0058
03119,Uckermarkstr.,805,Ostheim,51107,0001,0025,0002,0032
03120,Überlinger Str.,303,Lindenthal,50935,0001,0019,0002,0028
03121,Ückerather Str.,506,Longerich,50739,0001,0009,0002,0010
03122,Üdesheimer Weg,612,Worringen,50769,0009,0037,0002,0002
03123,Ürdinger Str.,501,Nippes,50733,0001,0015,0002,0012
03124,Ürziger Str.,205,Zollstock,50969,0001,0013,0002,0012
03126,Uferstr.,901,Mülheim,51063,,,0002,0004
03127,Uhdestr.,305,Müngersdorf,50933,0001,0013,0002,0018b
03128,Uhlandstr.,303,Lindenthal,50931,0009,0041,0002,0068
03128,Uhlandstr.,303,Lindenthal,50935,0047,0047,0070,0090a
03129,Ulitzkastr.,901,Mülheim,51063,0001,0025,0002,0058
03130,Unter den Ulmen,202,Marienburg,50968,0001,0043,0096,0152
03131,Ulmer Str.,507,Bilderstöckchen,50739,0001,0039,0002,0034
03132,Ulrichgasse,101,Altstadt/Süd,50678,0001,0003,0002,0018d
03133,Ulrich-Zell-Str.,501,Nippes,50733,0001,0011,0002,0008
03134,Umbachstr.,905,Dellbrück,51069,0001,0029,0004,0028
03135,Universitätsstr.,102,Neustadt/Süd,50674,,,0098,0100
03135,Universitätsstr.,302,Sülz,50937,0001,0023,0016,0018
03135,Universitätsstr.,303,Lindenthal,50931,0033,0091,0026,0026
03135,Universitätsstr.,303,Lindenthal,50937,0025,0031,0020,0022
03136,Unkeler Str.,302,Sülz,50939,0001,0031,0002,0030
03137,Unkelshof,803,Vingst,51107,0001a,0005,0002,0008
03138,Unnauer Weg,605,Lindweiler,50767,0003,0029,0002,0140
03139,Unter Bergamotten,403,Bickendorf,50827,0001,0009,0002,0010
03140,Unter Birnen,403,Bickendorf,50827,0001,0085,,
03141,Untere Dorfstr.,405,Bocklemünd/Mengenich,50829,0001,0101a,0002,0138
03142,Unterer Bruchweg,806,Merheim,51109,,,,
03142,Unterer Bruchweg,807,Brück,51109,0007,0007,,
03143,Unterer Herbstweg,601,Merkenich,50769,,,0002,0004
03144,Unterer Komarweg,301,Klettenberg,50939,,,,
03145,Unterer Wichheimer Kirchweg,904,Holweide,51067,,,0002,0020
03146,Untereschbacher Str.,905,Dellbrück,51069,,,0002,0042
03147,Unter Fettenhennen,103,Altstadt/Nord,50667,0007,0011,0002,0004
03148,Unter Goldschmied,103,Altstadt/Nord,50667,0003,0029,0004,0024
03149,Unter Käster,103,Altstadt/Nord,50667,0001,0009,0010,0018
03150,Unter Kahlenhausen,103,Altstadt/Nord,50668,0025,0047,0002,0046
03151,Unter Kirschen,403,Bickendorf,50827,0001,0027,0002,0040
03152,Unter Krahnenbäumen,103,Altstadt/Nord,50668,0001,0087,0004,0068
03153,Unter Sachsenhausen,103,Altstadt/Nord,50667,0001,0037,0002,0018
03155,Unter Taschenmacher,103,Altstadt/Nord,50667,0001,0019,0002,0022
03156,Uracher Str.,507,Bilderstöckchen,50739,0003,0033,0002,0016b
03157,Johann-Degen-Str.,701,Poll,51105,0001,0017,0002,0014
03158,Urbanstr.,105,Deutz,50679,0001,0001,,
03159,Urdenbacher Str.,506,Longerich,50737,0003,0029,0002,0018
03160,Urfelder Str.,204,Raderthal,50968,0001,0021,0002,0002a
03161,Urftstr.,302,Sülz,50937,0001,0019,0002,0016
03162,Urnenstr.,905,Dellbrück,51069,0001,0007,0008,0056
03163,Ursulagartenstr.,103,Altstadt/Nord,50668,0001,0031,0002,0030
03164,Ursulakloster,103,Altstadt/Nord,50668,0005,0025,0002,0022
03165,Ursulaplatz,103,Altstadt/Nord,50668,0001,0031,0002,0030
03166,Ursulastr.,103,Altstadt/Nord,50668,0001,0017,0002,0032
03167,Usingerstr.,801,Humboldt/Gremberg,51105,0001,0105a,0002,0074
03168,Utehof,502,Mauenheim,50739,0001,0023,0002,0028
03169,Utrechter Str.,104,Neustadt/Nord,50674,0001,0009,0002,0006
03170,Vallendarer Str.,801,Humboldt/Gremberg,51105,0001,0017,0002,0020
03171,Van-Gogh-Str.,305,Müngersdorf,50933,0001,0007,0002,0004
03172,Vastersstr.,402,Neuehrenfeld,50825,0001,0035,0002,0028
03173,Veilchenweg,906,Höhenhaus,51061,0001,0031a,0002,0024
03174,Veit-Stoß-Str.,305,Müngersdorf,50933,0001,0011a,0002,0020
03175,Veledastr.,102,Neustadt/Süd,50678,0001,0023,0002,0016
03176,Venloer Str.,104,Neustadt/Nord,50672,0001,0153,0002,0156a
03176,Venloer Str.,401,Ehrenfeld,50823,0155,0371,0160,0350
