Produktbereich;PB_BEZ;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
17;Stiftungen;04 - öffentl.rechtl. Leistungsentgelte;0;0;0;0;0;0
17;Stiftungen;05 - privatrechtl. Leistungsentgelte;4.193.342;4.089.900;4.469.100;4.563.000;4.563.000;4.563.000
17;Stiftungen;06 - Kostenerstattungen und Umlagen;118.520;0;0;0;0;0
17;Stiftungen;07 - sonstige ordentliche Erträge;1.091.430;0;0;0;0;0
17;Stiftungen;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
17;Stiftungen;09 - Bestandsveränderungen;0;0;0;0;0;0
17;Stiftungen;10 = ordentliche Erträge;5.519.127;4.210.400;4.560.700;4.563.000;4.563.000;4.563.000
17;Stiftungen;11 - Personalaufwendungen;0;0;0;0;0;0
17;Stiftungen;12 - Versorgungsaufwendungen;0;0;0;0;0;0
17;Stiftungen;13 - Aufwendungen für Sach- und Dienstleistungen;1.949.022;1.716.900;1.940.500;1.849.400;1.850.700;1.863.000
17;Stiftungen;14 - Bilanzielle Abschreibungen;514.432;492.500;555.500;555.500;555.500;555.500
17;Stiftungen;15 - Transferaufwendungen;1.179.391;1.349.100;1.122.400;1.157.000;1.143.800;1.144.200
17;Stiftungen;16 - sonstige ordentl. Aufwendungen;78.770;49.500;63.300;53.300;53.300;53.300
17;Stiftungen;17 = ordentliche Aufwendungen;3.721.616;3.608.000;3.681.700;3.615.200;3.603.300;3.616.000
17;Stiftungen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);1.797.512;602.400;879.000;947.800;959.700;947.000
17;Stiftungen;19 - Finanzerträge;1.447.214;1.394.200;1.473.400;1.398.900;1.398.900;1.398.900
17;Stiftungen;20 - Zinsen und sonst. Finanzaufwendungen;513.003;493.400;510.000;493.800;490.300;565.100
17;Stiftungen;21 = Finanzergebnis (19 und 20);934.211;900.800;963.400;905.100;908.600;833.800
17;Stiftungen;22 = ordentliches Jahresergebnis (18 und 21);2.731.723;1.503.200;1.842.400;1.852.900;1.868.300;1.780.800
17;Stiftungen;23 - außerordentliche Erträge;0;0;0;0;0;0
17;Stiftungen;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
17;Stiftungen;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
17;Stiftungen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);2.731.723;1.503.200;1.842.400;1.852.900;1.868.300;1.780.800
17;Stiftungen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);202.348;189.700;205.900;205.800;205.800;205.800
17;Stiftungen;28 = Jahresergebnis;2.529.375;1.313.500;1.636.500;1.647.100;1.662.500;1.575.000
18;Bezirksorientierte Mittel;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
18;Bezirksorientierte Mittel;02 - Zuwendungen und allg. Umlagen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;03 - sonstige Transfererträge;0;0;0;0;0;0
18;Bezirksorientierte Mittel;04 - öffentl.rechtl. Leistungsentgelte;0;0;0;0;0;0
18;Bezirksorientierte Mittel;05 - privatrechtl. Leistungsentgelte;0;0;0;0;0;0
18;Bezirksorientierte Mittel;06 - Kostenerstattungen und Umlagen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;07 - sonstige ordentliche Erträge;0;0;0;0;0;0
18;Bezirksorientierte Mittel;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;09 - Bestandsveränderungen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;10 = ordentliche Erträge;0;0;0;0;0;0
18;Bezirksorientierte Mittel;11 - Personalaufwendungen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;12 - Versorgungsaufwendungen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;13 - Aufwendungen für Sach- und Dienstleistungen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;14 - Bilanzielle Abschreibungen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;15 - Transferaufwendungen;0;0;0;504.000;504.000;504.000
18;Bezirksorientierte Mittel;16 - sonstige ordentl. Aufwendungen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;17 = ordentliche Aufwendungen;0;0;0;504.000;504.000;504.000
18;Bezirksorientierte Mittel;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);0;0;0;-504.000;-504.000;-504.000
18;Bezirksorientierte Mittel;19 - Finanzerträge;0;0;0;0;0;0
18;Bezirksorientierte Mittel;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
18;Bezirksorientierte Mittel;22 = ordentliches Jahresergebnis (18 und 21);0;0;0;-504.000;-504.000;-504.000
18;Bezirksorientierte Mittel;23 - außerordentliche Erträge;0;0;0;0;0;0
18;Bezirksorientierte Mittel;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
18;Bezirksorientierte Mittel;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
18;Bezirksorientierte Mittel;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);0;0;0;-504.000;-504.000;-504.000
18;Bezirksorientierte Mittel;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);0;0;0;0;0;0
18;Bezirksorientierte Mittel;28 = Jahresergebnis;0;0;0;-504.000;-504.000;-504.000
